"","AAPL","BAC","BLK","CME","CMG","CRM","DXC","EA","FB","GD","GOOG","GOOGL","GS","HPE","IBM","INTC","JPM","KO","MCD","MSFT","NDAQ","NFLX","NOC","NVDA","QCOM"
"AAPL",1,0.541263774169836,0.607363803829515,0.499469102475025,0.491599623267722,0.483016285840429,0.437293590415929,0.534379952538509,0.698197588878557,0.511934093093201,0.784125393624506,0.786754113941572,0.566177103521498,0.467707832940205,0.58241347668406,0.562857357130357,0.533298173026577,0.534068695076718,0.603755247186908,0.800117100486704,0.60522189949688,0.41345454629421,0.489957118303971,0.705844958757645,0.615453033949518
"BAC",0.541263774169836,1,0.717719201960051,0.6688729629656,0.521067179427774,0.463109010205819,0.705049952073254,0.470738783066266,0.535963310689946,0.738943881183204,0.56448572278175,0.569319455989639,0.827865913249642,0.681532893205858,0.695546897732857,0.579880202728552,0.927648739947215,0.66959129490196,0.665760785040377,0.618499643943003,0.662625216215722,0.428936921812078,0.590639386438164,0.605223218935595,0.505347831608214
"BLK",0.607363803829515,0.717719201960051,1,0.687603457649984,0.593995114909681,0.48284122666244,0.646174524365543,0.580422849519996,0.518455469602415,0.66579854270075,0.65220539438914,0.660657446938927,0.702653786871169,0.642058549656031,0.725272700387525,0.61809913893155,0.686112897398641,0.728063590388205,0.751747689880065,0.677104542740561,0.788662682933162,0.418311337390272,0.673805781434636,0.660203637212431,0.570655552701204
"CME",0.499469102475025,0.6688729629656,0.687603457649984,1,0.572770314821558,0.454018465386485,0.61445489867793,0.603019911802011,0.497987645257316,0.741049631505852,0.527291288001144,0.549750485801596,0.693774838605859,0.625751469343688,0.605629142835273,0.591012606606434,0.703556940974593,0.671839087346968,0.756476890872475,0.619841421966792,0.75496155245775,0.459521382893772,0.651668277783473,0.648262192308843,0.590259247244706
"CMG",0.491599623267722,0.521067179427774,0.593995114909681,0.572770314821558,1,0.447139374080434,0.563547565452884,0.354689494322335,0.463338606627294,0.505871199980221,0.54806322980391,0.55979792110028,0.588871796389665,0.446311336895261,0.549917239339623,0.481553360891602,0.543978635627123,0.573891837707906,0.721682538285842,0.540459641532036,0.561767973190592,0.32101788558078,0.522617555391149,0.620696331441058,0.507356672610854
"CRM",0.483016285840429,0.463109010205819,0.48284122666244,0.454018465386485,0.447139374080434,1,0.469684202620069,0.384553710484836,0.61008862331983,0.409044746033378,0.605028014262371,0.608260003930704,0.448192011461803,0.442160228150208,0.446843890154633,0.433936461979725,0.464901052097628,0.413143417830547,0.534724964527858,0.622559378747717,0.495086239141061,0.493624046353303,0.43589306216892,0.536526704381745,0.390865309423232
"DXC",0.437293590415929,0.705049952073254,0.646174524365543,0.61445489867793,0.563547565452884,0.469684202620069,1,0.376465445592978,0.479416213739936,0.608672539516252,0.493781176058036,0.503278350276671,0.697232015997466,0.652837682632606,0.657825598015547,0.494454197370192,0.66650518457188,0.605743252545667,0.750250618559874,0.512170019510292,0.608881931691342,0.30498488555336,0.567950010336533,0.596959662680975,0.469771009538266
"EA",0.534379952538509,0.470738783066266,0.580422849519996,0.603019911802011,0.354689494322335,0.384553710484836,0.376465445592978,1,0.385772720353486,0.564575023707252,0.504605651438937,0.512360563257974,0.43011285011525,0.432181522844037,0.454558700921421,0.498327840001475,0.506584163122123,0.508352853047697,0.475456810479936,0.57895159007078,0.603174274480312,0.481841830499478,0.55173948365055,0.511958070892746,0.508079943237528
"FB",0.698197588878557,0.535963310689946,0.518455469602415,0.497987645257316,0.463338606627294,0.61008862331983,0.479416213739936,0.385772720353486,1,0.420770576834133,0.789906751074593,0.789785961337485,0.566259522189124,0.472545188077874,0.548686402626012,0.541351597988738,0.528657461203535,0.481715665705923,0.576118830406356,0.706971309523608,0.532234381544988,0.503138019208704,0.446741818470428,0.59108295956456,0.475486693801561
"GD",0.511934093093201,0.738943881183204,0.66579854270075,0.741049631505852,0.505871199980221,0.409044746033378,0.608672539516252,0.564575023707252,0.420770576834133,1,0.495487789025879,0.500164417661261,0.721642472733184,0.681843527120791,0.681556533763053,0.52063992296721,0.745061841087824,0.74125562626161,0.674970596469779,0.542648268385987,0.679935515751936,0.389675555139374,0.652278309909079,0.563306775450933,0.490478900748726
