"","AAPL","BAC","BLK","CME","CMG","CRM","DXC","EA","FB","GD","GOOG","GOOGL","GS","HPE","IBM","INTC","JPM","KO","MCD","MSFT","NDAQ","NFLX","NOC","NVDA","QCOM"
"AAPL",1,0.572454029820032,0.659689069372581,0.52389689021539,0.539497752226011,0.654791379375225,0.482381022851013,0.625381892817684,0.781505127876059,0.508359181196066,0.764247138490362,0.764322682703538,0.634346998104469,0.507723560126635,0.585608784900727,0.651658076160575,0.548461927426338,0.573763567213567,0.623686338351022,0.851951848149794,0.682831595874596,0.585628369247824,0.492872531709764,0.794235131911086,0.724707088900469
"BAC",0.572454029820032,1,0.730905159312136,0.640494572834386,0.39169623511802,0.468217336931804,0.76984038005437,0.249503303453895,0.50663688301983,0.798863163838597,0.615397027485196,0.615749300832605,0.884497001722406,0.758018275010157,0.764483267306102,0.58212213974035,0.952212242132043,0.738460581940821,0.687623290460863,0.602375163864009,0.626429718083073,0.218718533422292,0.571185141060017,0.489810596691707,0.557744881964891
"BLK",0.659689069372581,0.730905159312136,1,0.687375850416185,0.490242792455106,0.564410545307658,0.648105800313924,0.446457442225599,0.585247044912811,0.734598591439169,0.690451693175199,0.696686372775713,0.742279633983028,0.64507193288176,0.692494525103682,0.587038466947689,0.731309034885966,0.709764893782968,0.741724851908017,0.728467790267136,0.779516584817567,0.377627252412593,0.608088039434038,0.659319565757885,0.605062281621838
"CME",0.52389689021539,0.640494572834386,0.687375850416185,1,0.423717886277178,0.497582024883379,0.549142896537336,0.383439053462684,0.472036448665216,0.682737739284528,0.547121012328238,0.558688084835018,0.661672212163647,0.566670718274935,0.588308758206714,0.504063087524219,0.690731535456062,0.636715518903902,0.723694364872427,0.5920218084737,0.713212994774208,0.292496855796139,0.541655804502427,0.514226366070521,0.490266931147295
"CMG",0.539497752226011,0.39169623511802,0.490242792455106,0.423717886277178,1,0.555966794001041,0.513039463835593,0.3729139646472,0.614355717476136,0.372593896031355,0.604791412229357,0.603178349230099,0.509748313767242,0.356013611497892,0.40632037061363,0.408675845877311,0.422981979124589,0.34195089911207,0.69555551180623,0.588871089219175,0.396391120459024,0.390851242276214,0.229198793053562,0.63271620520781,0.529458936653206
"CRM",0.654791379375225,0.468217336931804,0.564410545307658,0.497582024883379,0.555966794001041,1,0.489084268621163,0.519924176944582,0.699447328914544,0.407463212750034,0.691477452759371,0.693814217018612,0.522852232773551,0.435361601363918,0.508621298862742,0.531640876790945,0.464509081261009,0.45507190332964,0.595568532446807,0.753497694128584,0.575138750452305,0.59280321749443,0.39852141394996,0.672698031059694,0.556376093469823
"DXC",0.482381022851013,0.76984038005437,0.648105800313924,0.549142896537336,0.513039463835593,0.489084268621163,1,0.213788128368817,0.525768076340886,0.642217111299779,0.570131326964619,0.570129294862926,0.756991963907826,0.730234628131606,0.674459513730705,0.464795933437168,0.735959643084343,0.529412149452097,0.74630973414848,0.516576648624135,0.483832356680259,0.228769525135015,0.395408552319408,0.493896599249352,0.526015759386597
"EA",0.625381892817684,0.249503303453895,0.446457442225599,0.383439053462684,0.3729139646472,0.519924176944582,0.213788128368817,1,0.540713812234958,0.274125234328297,0.566633269091819,0.570069595697684,0.365471932131947,0.174475159146453,0.392848292581931,0.582225317320788,0.271547512900585,0.388620923207988,0.312620190708166,0.648028341054651,0.450768912713585,0.627294457676132,0.366062424933189,0.600338273695498,0.582287905673672
"FB",0.781505127876059,0.50663688301983,0.585247044912811,0.472036448665216,0.614355717476136,0.699447328914544,0.525768076340886,0.540713812234958,1,0.415374618162977,0.80823061417828,0.803523077195304,0.571789133726862,0.467802630210872,0.510182577330762,0.561561877725157,0.487092858657995,0.443868349047588,0.611991411946088,0.776301954946131,0.592984455758774,0.589225722884295,0.378924983573574,0.714465194419856,0.608830797387842
"GD",0.508359181196066,0.798863163838597,0.734598591439169,0.682737739284528,0.372593896031355,0.407463212750034,0.642217111299779,0.274125234328297,0.415374618162977,1,0.554646861231315,0.556432719584985,0.778008520395375,0.718582866091385,0.758463611855308,0.540783405646264,0.818463992967752,0.808070747173256,0.674842974117367,0.525078667983002,0.675366333437971,0.188384176206619,0.720348255738462,0.42978540825063,0.507326195735763
